id,question,option_a,option_b,option_c,option_d,answer,explanation,why_wrong_a,why_wrong_b,why_wrong_c,why_wrong_d,subject,topic,subtopic,tags,question_image_url
pearson_plant_kingdom_practice_108_db033c89,Which one is correct about protonema?,It is a dominant stage mosses,Develops from spore,"It is creeping, green, branched and frequently filamentous",All are correct,D,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_109_293e94da,Leafy stage in bryophytes,Develops from secondary protonema.,"Consist of upright, slender axis and bears consist of alternately arranged leaves.",Attached to the soil through unicellular and branched rhizoids.,All of these,A,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_110_eab0d9f2,Sex organs in mosses develops on,Secondary protonema,Leafy stage,On capsule of sporophyte,None of these,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_111_6a59c6a0,Vegetative reproduction in mosses takes place by,Fragmentation and budding in secondary protonema,Binary fission,Spore dispersal,All of these,A,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_112_a00193d2,Sporophyte of mosses is more elaborated from,Ferns,Pinus,Polytrichum,Marchantia,D,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_113_505d2f04,Spores in bryophytes are formed by,Mitosis,Meiosis in gametophyte,Mitosis in zygote,Meiosis in zygote,D,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_114_1de72635,Elaborate mechanism of spore dispersal is found in,Ferns,Mosses,Liverworts,None of these,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_115_56821b3a,Sphagnum belongs to,Ferns,Liverworts,Mosses,None of these,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_116_6af47645,The plants frequently grown as ornamentals and are used for medicinal purpose belong to (a) Angiosperms (b) Pteridophytes (c) Algae (d) Some protist,Angiosperms,Pteridophytes,Algae,Some protist,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_117_38bf2097,The first terrestrial plants to possess vascular tissues are,Gymnosperms,Bryophyte,Pteridophytes,All of these,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_118_c277f07e,The main plant body of pteridophytes is,Gametophytes as well as sporophyte,Sporophyte,None of these,Both a and b,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_119_c5ec3feb,The plant body of pteridophyte is,Not well-developed,Lacks vascular tissue,Is thalloid,"Posses true root, leaves and stem",D,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_120_86e3d0b2,Pteridophytes have only,Small microphyllous leaves,Large macrophyllous leaves,Both microphyllous as well as macrophyllous in some of the ferns,All of the above,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_121_7ba2f3f3,Which one is false about pteridophyte?,They flourish well moist and shady condition,They are found in cool damp and shady place,The xylem possesses vessels,None of these,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_122_0fc7d300,Prothallus is the gametophyte of,Bryophytes,Algae,Pteridophyte,Gymnosperm,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_123_c056a2a7,"The gametophyte of pteridophyte grows in damp, moist and shady places because",They are limited and restricted to a narrow geographical region.,They need water for fertilization of gametes formed on the gametophyte.,Water is required for gametogenesis.,Egg cell swims in water to reach to the antheridia.,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_124_fe5e705b,Gametophyte of pteridophyte,Parasite on sporophyte,Not a free living stage,Photosynthetical and free living,Is unicellular,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_125_306fc3fd,Vascular plants which do not bear seeds is,Angiosperms,Pteridophytes,Gymnosperms,None of these,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_126_2c7d6e0d,Macrophylls leaves are characteristics of,Mosses,Ferns,Funaria,None of these,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_127_89933764,Pteridophyte having microphylls is,Ferns,Psilotum,Selaginella,All of these,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_128_6f47fb0a,The production of spores by the spore mother cells is the result of,Mitosis,Meiosis,Mitosis and meiosis both,Amitosis,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_129_078f4140,The leaves bearing sporangia are called,Sporophylls,Fronds,Tropophylls,Scaly leaves,A,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_130_421a19bf,Cones in pteridophytes are formed in,Salvinia,Selaginella and lycopodium,Dryopteris,Selaginella and Equisetum,D,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_131_1c5b0d10,Spores in pteridophytes give rise to,Sporophyte,Parasite gametophyte,Free living gametophyte,Free living sporophyte,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_133_ba1aa0f3,Sex organs in pteridophytes are formed on the,Multicellular well-developed sporophyte.,Multicellular main gametophyte phase of the plant.,"Photosynthetic, free living gametophyte.","Parasite, gametophyte dependent on sporophyte.",C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_134_75a60b00,The male and female sex organs of pteridophyte are called (a) Globule and nucule respectively (b) Antheridia and archegonia respectively (c) Spermatangia and oogonia respectively (d) Tests and ovary respectively,Globule and nucule respectively,Antheridia and archegonia respectively,Spermatangia and oogonia respectively,Tests and ovary respectively,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_135_aff69e33,Zygote of pteridophyte,Undergoes reduction division just often formation,Produces multicellular gametophyte,Produces multicellular sporophyte,Remains dormant,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_136_1fa373bf,Majority of the pteridophytes are I. Homosporous and produce only one kind of spores. II. Aquatic in nature. III. Heterosporus and produce small and large spores. IV. Restricted to narrow geographical zone because of specific requirement of water.,I and II,II and III,III and IV,IV and I,D,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_137_cdfa063d,Heterosporous pteridophytes are,Dryopteris and pteris,Selaginella and lycopodium,Selaginella and salvinia,Equisetum and Adiantum,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_138_84201fd2,Heterosporous plants are,Plants producing one kind of spores.,Plants producing large and small spores.,Plants producing two types of spores which are similar in size.,None of these,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_139_911631ff,Megaspore germinate into,Female gametophyte,Gametophyte having both male and female sex organs,Male gametophyte,Male sporophyte,A,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_140_b318ee30,The female gametophytes are retained on the parent sporophyte in (a) Homosporous species of pteridophytes (b) Heterosporous species of pteridophytes (c) Both are correct (d) Both are incorrect,Homosporous species of pteridophytes,Heterosporous species of pteridophytes,Both are correct,Both are incorrect,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_141_d2fb4ecd,Process similar to seed habit considerably is observed in (a) Homosporous species of pteridophytes (b) Heterosporous species of pteridophyte (c) All the members of pteridophytes (d) Not seen in pteridophyte,Homosporous species of pteridophytes,Heterosporous species of pteridophyte,All the members of pteridophytes,Not seen in pteridophyte,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_142_3a9bd083,"Vascular plants, with seeds but no fruits are (a) Bryophyte (b) Angiosperms (c) Gymnosperms (d) Pteridophytes",Bryophyte,Angiosperms,Gymnosperms,Pteridophytes,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_143_2f020aa9,In heterosporous pteridophyte,Zygote develops into young embryo in the female gametophyte.,Zygote multiples and develops into sporophyte in the soil.,All spores are similar,None of these,A,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_144_359d6a03,Naked seed plants are,Algae,Bryophyte,Angiosperms,Gymnosperms,D,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_145_f46c987e,Ovules are not enclosed by the ovaries in,Pteridophytes,Angiosperms,Gymnosperms,All of these,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_146_c5f58022,The tallest gymnosperms is,Sequoia (red wood tree),Pinus,Cycas,Ginkgo,A,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_147_8191189c,Coralloid roots having association with N_{2} fixing bacteria are found in (a) Pinus (b) Cedrus (c) Sequoia (d) Cycas,Pinus,Cedrus,Sequoia,Cycas,D,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_148_b55ddeda,"In gymnosperms, the mycorrhizal association are found in",Cycas,Pinus,Cedrus,All of these,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_149_28ff26fa,Gymnosperms,Are naked seeds plants,Have tap roots,Are heterosporous,All of these,D,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_150_7ff7e370,"Which of the following are correct for gymnosperms? I. Have adventitious root system. II. The leaves in gymnosperms can withstand extreme temperature, humidity and wind. III. Microspores are produced in microsporangia. IV. They include medium or tall sized trees and shrubs.",I and III,"I, II and II","II, III and IV",I and IV,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_151_40acf96d,In cycas,The stems are unbranched.,The pinnately compound leaves persist for years.,Have symbiotic association with $n_(2)$ fixing cynobacteria.,All are correct.,D,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_154_bfa69f01,Which of the following sequence is correct?,Strobili-Sporophylls Sporangia Spores,Strobili-Sporangia Sporophylls Spores,Sporophylls-Strobili Sporangia Spores,Spores-Sporangia Strobili Cones,A,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_155_863ff797,Male gametophyte which is highly reduced and confined to only limited numbers of cells is called,Antherozoid,Spermatozoid,Pollen grain,All of these,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_156_49fbe241,Male and female cones are formed on the same tree of,Cycas,Pinus,Both a and b,None of these,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_157_e5d85092,In gymnosperms,Pollen grains germinate inside the ovary.,The development of pollen grain takes place within the microsporangia.,The cones barring megasporophylls are called male cones or male strobili.,All are correct,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_158_07649906,Megaspore mother cell,Develops from one of the cell of nucleus,Forms four megaspore after meiosis,Formed in the megasporangium,All of these,D,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_159_4bf7911e,The female gametophyte of gymnosperms,Bear two archegonia,Retained within megasporangium,Is unicellular,Both a and b,D,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_160_b6835bd8,"In gymnosperms, the male and female gametophyte I. Do not have independent free living existence. II. Remain within the sporangia retained on parent sporophyte. III. May be born on same or different tree. IV. Perform meiosis to produce gametes.",I and II,II and III,III and IV,All,D,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_161_1d5e3cc9,Pollination in gymnosperms takes place by,Wind,Water,Only physical factors like wind and water,All of these,A,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_162_725b8e1e,Angiosperms include,Vascular plants with naked seeds,Vascular plants with covered seeds,Few vascular plants with naked seeds,Few vascular plants with covered seeds,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_163_249af485,Microscopic angiosperm is,Sequoia,Eucalyptus,Wolfia,Never microscopic,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_165_b7941982,The height of eucalyptus tree is approximately,100 m,1000 m,10 m,10-20 m,A,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_166_642a1e1c,Male sex organ in angiosperm is located in (a) Male cone (b) Sporophyll (c) Flower (d) Carpel,Male cone,Sporophyll,Flower,Carpel,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_167_99afdfe2,Male sex organ in flower is,Antheridia,Stamens,Spermatangia,Nucule,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_168_646616b1,The female sex organ of flower is called (a) Archegonia (b) Nucule (c) Oogonia (d) Pistil,Archegonia,Nucule,Oogonia,Pistil,D,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_169_e87fa8a0,The pistil in flower encloses,One ovule,Only two ovules,Three ovules,One too many ovules,D,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_170_cdb898c8,Embryo sacs in angiosperms is,Male gametophyte,Well-developed female gametophyte,Highly reduced female gametophyte,Well-developed female sporophyte,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_171_cfa39c64,Embryo sac of angiosperms possesses,Egg apparatus,Synergids,Antipodal,All of these,D,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_172_6cd4187d,Egg apparatus of angiosperms contain,One egg cell,Two synergids,Both a and b,Two antipodals,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_173_9adfc138,The cells of embryo sac are,Diploid,Haploid,May be haploid or diploid,None of these,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_174_e33da68a,Diploid secondary nucleus in embryo sac of angiosperm is the product of,Fusion of two synergoid cells,Fusion of two antipodal cells,Fusion of two polar nuclei,Fusion of egg cell and antipodal cell,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_175_5a33b7d5,The pistil in angiosperm is made up of,Ovary,Stigma,Style,All of these,D,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_176_8c0298c9,Ovary is the characteristic feature of,Gymnosperms,Angiosperm,Pteridophyte,All of these,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_177_d3d92543,In double fertilization,Male gamete fuses with egg cell to form zygote.,Male gamete fuses with diploid endosperm nucleus to produce triploid primary endosperm nucleus.,Both a and b,Fertilization takes place in two plants simultaneously.,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_178_84167826,Synergids and antipodals,Develop into new plants,Are diploid,Degenerate after fertilization,Are produced in male gametophyte,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_179_2b40af6e,Fruit formation in angiosperm takes place by,Development of ovule after fertilization,Development of ovary after fertilization,Axillary bud,Terminal bud,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_180_8efa422a,Double fertilization is the unique characteristic feature of,Angiosperm,Gymnosperm,Pteridophyte,Dicotyledons only,A,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_181_2d5fa8d7,Zygote after multiplication in angiosperm develop in,Endosperm (n),Embryo (n),Endosperm,Embryo (2n),D,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_182_9e75b906,Endosperm in angiosperm is formed,Before fertilization,After fertilization,Vary from species to species,All of these,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_183_d90c4dad,Meiosis in plants can take place in,Only haploid species,Only diploid species,Both in haploid as well as diploid species,None of these,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_184_90730869,"The haploid plant body produces ___ and is referred to as ___(a) spores, sporophyte (b) gametes, gametophyte (c) zoospores, zoosporangia (d) conidia, conidiophores","spores, sporophyte","gametes, gametophyte","zoospores, zoosporangia","conidia, conidiophores",B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_185_bf66c724,Haploid spore divides by ___ to form haploid plant body,Mitosis,Meiosis,Amitosis,Any of these,A,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_187_f204068f,"In haplastic life cycle, the zygote divides by",Mitosis,Meiosis,Any of these,Amitosis,A,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_188_7eba8652,"Volvox, spirogyra chlamydomonas come under",Haplodiplontic life cycle organism,Diplohaplontic organism,Haplastic life cycle,Diplotonic life cycle,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_189_986df6d7,"Sporophyte, dominant, photosynthetic and independent phase of plant represents",Haplontic,Diplontic,Diplohaplontic life cycle,Both b and c,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_190_b76d2f10,Diplontic life cycle is seen in,Angiosperms and gymnosperms,Spermatophytes,Both a and b,Pteridophyte,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_191_fc4d6536,"When both the phases of life cycle are multicellular, i.e., haploid and diploid phases are more than one celled",Life cycles are called haplodiplontic,They differ in the dominant phase,They are in pteridophytes and bryophytes,All of these,D,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_192_c85fbf2f,In bryophytes,"Dominant, diploid, multicellular sporophyte alters dominant with multicellular gametophytes.",Dominant haploid multicellular gametophyte alters with diploid sporophyte.,The plant body shows diplomatic life cycle.,The plant body shows haplontic life cycle.,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_193_1d2e5069,Most of the alga show,Haplontic life cycle,Diplontic life cycle,Haplodiplontic life cycle,None of these,A,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_194_91d204f6,Algae showing haplodiplontic life cycle are,Spirullina and spirogyra,Ectocarpus and polysiphonia,Kelps,Both b and c,D,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_195_0ad794dc,Which alga shows diplontic life cycle?,Chara,Fucus,Ectocarpus,Polysiphonia,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_196_c06b5de8,"How many organisms show haplodiplontic life cycle? Sphagnum, Volvox, Ulothrix, Marchantia, Polytrichum, Selaginella, Pinus, Cedrus, Ectocarpus, Polysiphonia",8,6,7,9,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_197_ec84f003,"How many organisms show diplomatic life cycle? Selaginella, Equisetum, Cycas, Cedrus, Ectocarpus, Fucus, Sequoia",7,5,4,6,C,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_198_f7a72a86,Which of the organisms show haplontic life cycle?,"Chlamydomonas, volvox","Ectocarpus, polysiphonia",Fucus,All of these,A,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_199_7e2940c6,In diplomatic life cycle gametogenesis takes place by,Mitosis,Meiosis,Both a and b,Neither mitosis nor meiosis,B,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_200_dcf3a4fe,Gametogenesis in organism showing haplontic life cycle takes place in (a) Mitosis (b) Meiosis (c) Both (a) and (b) (d) Amitosis,Mitosis,Meiosis,Both a and b,Amitosis,A,,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,
pearson_plant_kingdom_practice_201_be059680,"Identify a, b, c in diagram:","A−Volvox, B−Chlamydomonas, C−Chara","A−Chara, B−Volvox, C−Chlamydomonas","A−Chlamydomonas, B−Chara, C−Volvox","A−Chara, B−Chlamydomonas, C−Volvox",A,Image reference: https://pplines-online.bj.bcebos.com/deploy/official/paddleocr/pp-ocr-vl-16-online//98b6953b-a8da-4ff9-80bd-f251e3264c5f/markdown_4/imgs/img_in_image_box_182_1015_376_1135.jpg?authorization=bce-auth-v1%2FALTAKDN8mY5KlNI7zaRpLmOqrw%2F2026-06-05T20%3A02%3A39Z%2F-1%2F%2Fc4a979a75a0103462e91c8d7c59b6e1eef75ae6d964c9be53554a1d157fd6a71,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,https://pplines-online.bj.bcebos.com/deploy/official/paddleocr/pp-ocr-vl-16-online//98b6953b-a8da-4ff9-80bd-f251e3264c5f/markdown_4/imgs/img_in_image_box_182_1015_376_1135.jpg?authorization=bce-auth-v1%2FALTAKDN8mY5KlNI7zaRpLmOqrw%2F2026-06-05T20%3A02%3A39Z%2F-1%2F%2Fc4a979a75a0103462e91c8d7c59b6e1eef75ae6d964c9be53554a1d157fd6a71
pearson_plant_kingdom_practice_204_60e0db0d,"Identify the A, B, C and D shown in this figure?","A-Holdfast, B-Air bladder, C-Midrib, D-Frond","A-Frond, B-Midrib, C-Air bladder, D-Holdfast","A-Air bladder, B-Midrib, C-Holdfast, D-Frond","A-Frond, B-Holdfast, C-Midrib, D-Air bladder",D,Image reference: https://pplines-online.bj.bcebos.com/deploy/official/paddleocr/pp-ocr-vl-16-online//6dfbc39c-39ed-44d6-993e-a76ab27d5a5c/markdown_0/imgs/img_in_image_box_391_819_591_1117.jpg?authorization=bce-auth-v1%2FALTAKDN8mY5KlNI7zaRpLmOqrw%2F2026-06-05T20%3A04%3A00Z%2F-1%2F%2F164e55601197405bcd6f8356e86d1be55131a5a065a7c89108ae7b201ac6817d,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,https://pplines-online.bj.bcebos.com/deploy/official/paddleocr/pp-ocr-vl-16-online//6dfbc39c-39ed-44d6-993e-a76ab27d5a5c/markdown_0/imgs/img_in_image_box_391_819_591_1117.jpg?authorization=bce-auth-v1%2FALTAKDN8mY5KlNI7zaRpLmOqrw%2F2026-06-05T20%3A04%3A00Z%2F-1%2F%2F164e55601197405bcd6f8356e86d1be55131a5a065a7c89108ae7b201ac6817d
pearson_plant_kingdom_practice_206_9b46747f,What indicates A to E in the below figure?,"A-Node, B-Rhizome, C-Internode, D-Strobilus, E-Branch","A-Strobilus, B-Node, C-Internode, D-Branch, E-Rhizome","A-Branch, B-Internode, C-Strobilus, D-Node, E-Rhizome","A-Strobilus, B-Node, C-Branch, D-Internode, E-Rhizome",B,Image reference: https://pplines-online.bj.bcebos.com/deploy/official/paddleocr/pp-ocr-vl-16-online//6dfbc39c-39ed-44d6-993e-a76ab27d5a5c/markdown_1/imgs/img_in_image_box_374_731_609_1254.jpg?authorization=bce-auth-v1%2FALTAKDN8mY5KlNI7zaRpLmOqrw%2F2026-06-05T20%3A04%3A02Z%2F-1%2F%2F95de1dc2530b1316b87a20bbc31a93be197b710bf7ae54fd8ef8bd059e348d64,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,https://pplines-online.bj.bcebos.com/deploy/official/paddleocr/pp-ocr-vl-16-online//6dfbc39c-39ed-44d6-993e-a76ab27d5a5c/markdown_1/imgs/img_in_image_box_374_731_609_1254.jpg?authorization=bce-auth-v1%2FALTAKDN8mY5KlNI7zaRpLmOqrw%2F2026-06-05T20%3A04%3A02Z%2F-1%2F%2F95de1dc2530b1316b87a20bbc31a93be197b710bf7ae54fd8ef8bd059e348d64
pearson_plant_kingdom_practice_208_ff0d4ebc,"Identify the A, B and C.","A-Salvinia, B-Chlamydomonas, C-Porphyra","A-Chlamydomonas, B-Porphyra, C-Salvinia","A-Porphyra, B-Salvinia, C-Chlamydomonas","A-Chlamydomonas, B-Salvinia, C-Porphyra",C,Image reference: https://pplines-online.bj.bcebos.com/deploy/official/paddleocr/pp-ocr-vl-16-online//6dfbc39c-39ed-44d6-993e-a76ab27d5a5c/markdown_2/imgs/img_in_image_box_223_788_406_1018.jpg?authorization=bce-auth-v1%2FALTAKDN8mY5KlNI7zaRpLmOqrw%2F2026-06-05T20%3A04%3A03Z%2F-1%2F%2Fec68b31c7f39499603067d42f0da9216c2477664b0a53541162a2ce9bef9c121,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,https://pplines-online.bj.bcebos.com/deploy/official/paddleocr/pp-ocr-vl-16-online//6dfbc39c-39ed-44d6-993e-a76ab27d5a5c/markdown_2/imgs/img_in_image_box_223_788_406_1018.jpg?authorization=bce-auth-v1%2FALTAKDN8mY5KlNI7zaRpLmOqrw%2F2026-06-05T20%3A04%3A03Z%2F-1%2F%2Fec68b31c7f39499603067d42f0da9216c2477664b0a53541162a2ce9bef9c121
pearson_plant_kingdom_practice_209_8dadd409,"What indicates A, B and C in this figure.","A-Dwarf shoot, B-Long shoot, C-Seeds","A-Long shoot, B-Seeds, C-Dwarf shoot","A-Long shoot, B-Dwarf shoot, C-Seeds","A-Seeds, B-Long Shoot, C-Dwarf Shoot",A,Image reference: https://pplines-online.bj.bcebos.com/deploy/official/paddleocr/pp-ocr-vl-16-online//6dfbc39c-39ed-44d6-993e-a76ab27d5a5c/markdown_3/imgs/img_in_image_box_309_180_673_516.jpg?authorization=bce-auth-v1%2FALTAKDN8mY5KlNI7zaRpLmOqrw%2F2026-06-05T20%3A04%3A05Z%2F-1%2F%2Fd34a8e1b279e1d078886089d64c8564ac0f1d233028cf6dacc617804f679efdd,,,,,Biology,Plant Kingdom,Practice,Pearson 2019; Practice,https://pplines-online.bj.bcebos.com/deploy/official/paddleocr/pp-ocr-vl-16-online//6dfbc39c-39ed-44d6-993e-a76ab27d5a5c/markdown_3/imgs/img_in_image_box_309_180_673_516.jpg?authorization=bce-auth-v1%2FALTAKDN8mY5KlNI7zaRpLmOqrw%2F2026-06-05T20%3A04%3A05Z%2F-1%2F%2Fd34a8e1b279e1d078886089d64c8564ac0f1d233028cf6dacc617804f679efdd
pearson_plant_kingdom_assertion_210_85106449,Assertion: The earliest systems of classification used only superficial morphological characters. Reason: Artificial system gave equal weightage to vegetative and sexual characteristics.,Both assertion and reason are true and reason is the correct explanation of assertion.,Both assertion and reason are true but reason is not the correct explanation of assertion.,Assertion is true but reason is false.,Both assertion and reason are false.,B,,,,,,Biology,Plant Kingdom,Assertion,Assertion-Reason; Pearson 2019,
